
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-10-07_01H33\$RECYCLE.BIN\S-1-5-21-804885317-3635087457-352340685-1005\desktop.ini.txt	[Extension: .ini]	[Size: 129 bytes]	[Last modification: 2022-09-29 00:42:22]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-10-07_01H33\bootTel.dat.txt	[Extension: .dat]	[Size: 4294967295 bytes]	[Last modification: 2022-12-13 13:40:20]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-10-07_01H33\DevCode\C\FileComparisonLinux\FileComparison.c.txt	[Extension: .c]	[Size: 6732 bytes]	[Last modification: 2023-07-31 19:10:58]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-10-07_01H33\Druide_Téléchargement\Diff_Antidote_11_Module_E_11.4.0.1.msp.txt	[Extension: .msp]	[Size: 452640768 bytes]	[Last modification: 2023-05-24 10:03:58]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-10-07_01H33\Druide_Téléchargement\Diff_Antidote_11_Module_F_11.4.0.1.msp.txt	[Extension: .msp]	[Size: 735768576 bytes]	[Last modification: 2023-05-24 09:58:57]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-10-07_01H33\Druide_Téléchargement\Diff_Connectix_11_C_11.4.0.1_2.msp.txt	[Extension: .msp]	[Size: 454148096 bytes]	[Last modification: 2023-05-24 10:06:20]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-10-07_01H33\FileComparison\.git\COMMIT_EDITMSG.txt	[Extension: .git\COMMIT_EDITMSG]	[Size: 19 bytes]	[Last modification: 2023-07-31 07:38:37]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-10-07_01H33\FileComparison\.git\config.txt	[Extension: .git\config]	[Size: 934 bytes]	[Last modification: 2023-07-31 07:38:42]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-10-07_01H33\FileComparison\.git\description.txt	[Extension: .git\description]	[Size: 73 bytes]	[Last modification: 2023-07-31 07:38:35]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-10-07_01H33\FileComparison\.git\FETCH_HEAD.txt	[Extension: .git\FETCH_HEAD]	[Size: 108 bytes]	[Last modification: 2023-07-31 07:38:44]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-10-07_01H33\FileComparison\.git\HEAD.txt	[Extension: .git\HEAD]	[Size: 23 bytes]	[Last modification: 2023-07-31 07:38:35]
