
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0512.JPG.txt	[Extension: .JPG]	[Size: 2655368 bytes]	[Last modification: 2015-10-08 06:49:46]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0513.JPG.txt	[Extension: .JPG]	[Size: 2926600 bytes]	[Last modification: 2015-10-08 06:49:46]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0514.JPG.txt	[Extension: .JPG]	[Size: 2018600 bytes]	[Last modification: 2015-10-08 06:49:48]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0517.JPG.txt	[Extension: .JPG]	[Size: 2113324 bytes]	[Last modification: 2015-10-08 07:17:26]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0529.JPG.txt	[Extension: .JPG]	[Size: 148985 bytes]	[Last modification: 2015-10-09 21:47:46]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0585.JPG.txt	[Extension: .JPG]	[Size: 1818833 bytes]	[Last modification: 2015-11-06 10:47:14]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0605.JPG.txt	[Extension: .JPG]	[Size: 2427640 bytes]	[Last modification: 2015-11-09 17:59:40]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0661.JPG.txt	[Extension: .JPG]	[Size: 101080 bytes]	[Last modification: 2015-12-12 12:34:22]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0662.JPG.txt	[Extension: .JPG]	[Size: 61416 bytes]	[Last modification: 2015-12-14 14:58:44]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0667.JPG.txt	[Extension: .JPG]	[Size: 96467 bytes]	[Last modification: 2015-12-15 10:34:46]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0729.JPG.txt	[Extension: .JPG]	[Size: 740341 bytes]	[Last modification: 2015-12-31 21:49:58]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0733.JPG.txt	[Extension: .JPG]	[Size: 749575 bytes]	[Last modification: 2015-12-31 21:50:14]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0742.JPG.txt	[Extension: .JPG]	[Size: 792437 bytes]	[Last modification: 2015-12-31 21:50:42]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-03_15H48\100APPLE\IMG_0745.JPG.txt	[Extension: .JPG]	[Size: 779006 bytes]	[Last modification: 2015-12-31 21:50:44]
