
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-07_01H00\$RECYCLE.BIN\S-1-5-21-804885317-3635087457-352340685-1005\desktop.ini.txt	[Extension: .ini]	[Size: 129 bytes]	[Last modification: 2023-03-17 11:42:24]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-07_01H00\100APPLE\IMG_0015.JPG.txt	[Extension: .JPG]	[Size: 1769203 bytes]	[Last modification: 2015-05-26 06:38:52]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-07_01H00\100APPLE\IMG_0018.JPG.txt	[Extension: .JPG]	[Size: 1871606 bytes]	[Last modification: 2015-05-26 06:41:08]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-07_01H00\100APPLE\IMG_0019.JPG.txt	[Extension: .JPG]	[Size: 1908947 bytes]	[Last modification: 2015-05-26 06:41:10]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-07_01H00\100APPLE\IMG_0020.JPG.txt	[Extension: .JPG]	[Size: 1909196 bytes]	[Last modification: 2015-05-26 06:47:26]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-07_01H00\100APPLE\IMG_0137.JPG.txt	[Extension: .JPG]	[Size: 1635899 bytes]	[Last modification: 2015-05-30 12:49:14]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-07_01H00\100APPLE\IMG_0138.JPG.txt	[Extension: .JPG]	[Size: 114194 bytes]	[Last modification: 2015-05-30 12:49:32]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-07_01H00\100APPLE\IMG_0162.JPG.txt	[Extension: .JPG]	[Size: 2395624 bytes]	[Last modification: 2015-05-31 14:39:04]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-07_01H00\100APPLE\IMG_0164.JPG.txt	[Extension: .JPG]	[Size: 2465129 bytes]	[Last modification: 2015-05-31 14:39:04]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-07_01H00\100APPLE\IMG_0199.JPG.txt	[Extension: .JPG]	[Size: 1719419 bytes]	[Last modification: 2015-06-20 13:37:32]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-07_01H00\100APPLE\IMG_0264.JPG.txt	[Extension: .JPG]	[Size: 1842394 bytes]	[Last modification: 2015-07-27 22:05:02]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-07_01H00\100APPLE\IMG_0272.JPG.txt	[Extension: .JPG]	[Size: 106207 bytes]	[Last modification: 2015-07-30 18:27:30]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-07_01H00\100APPLE\IMG_0328.JPG.txt	[Extension: .JPG]	[Size: 2890618 bytes]	[Last modification: 2015-08-12 12:01:20]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[M_M2D2] 2023-10-07_01H00\100APPLE\IMG_0329.JPG.txt	[Extension: .JPG]	[Size: 2865772 bytes]	[Last modification: 2015-08-12 12:01:36]
