
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\sr\Inazuma Eleven Piano Score Book.pdf.txt	[Extension: .pdf]	[Size: 237625237 bytes]	[Last modification: 2022-08-23 17:47:10]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\sr\The JoJoLands - C001.pdf.txt	[Extension: .pdf]	[Size: 11030674 bytes]	[Last modification: 2023-02-17 08:26:16]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071319075900_s.jpg.txt	[Extension: .jpg]	[Size: 112008 bytes]	[Last modification: 2020-07-13 17:07:59]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071319115800_s.jpg.txt	[Extension: .jpg]	[Size: 88266 bytes]	[Last modification: 2020-07-13 17:11:58]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071319141900_s.jpg.txt	[Extension: .jpg]	[Size: 87190 bytes]	[Last modification: 2020-07-13 17:14:19]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071319143700_s.jpg.txt	[Extension: .jpg]	[Size: 130838 bytes]	[Last modification: 2020-07-13 17:14:37]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071319144300_s.jpg.txt	[Extension: .jpg]	[Size: 165406 bytes]	[Last modification: 2020-07-13 17:14:43]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071319145400_s.jpg.txt	[Extension: .jpg]	[Size: 173676 bytes]	[Last modification: 2020-07-13 17:14:54]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071319204100_s.jpg.txt	[Extension: .jpg]	[Size: 90937 bytes]	[Last modification: 2020-07-13 17:20:41]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071320035900_s.jpg.txt	[Extension: .jpg]	[Size: 248729 bytes]	[Last modification: 2020-07-13 18:03:59]
